# Rime user dictionary
#@/db_name	terra_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.3.1
#@/tick	1776
#@/user_id	10eb7508-e167-4823-8968-7521df318d50
hong2 mao2 yao4 jiu3 	鴻茅藥酒	c=3 d=2.87883 t=1167
hu4 kou3 	戶口	c=1 d=0.407279 t=1652
hu4 lian2 wang3 	互聯網	c=1 d=1 t=1767
hua1 	花	c=2 d=1.06204 t=1557
hua4 	話	c=2 d=1.01259 t=1558
hua4 shuo1 	話說	c=1 d=1 t=1158
huan2 you2 	環遊	c=1 d=1 t=186
huan3 cun2 	緩存	c=1 d=1 t=1701
huan4 cheng2 	換成	c=1 d=1 t=582
huan4 xing3 	喚醒	c=1 d=1 t=74
hui2 dao4 	回到	c=1 d=1 t=1761
hui2 gui1 	回歸	c=1 d=1 t=197
hui2 jia1 	回家	c=1 d=1 t=141
hui4 	惠	c=0 d=0.1 t=299
hui4 	會	c=6 d=2.31331 t=1618
hun2 shui3 	渾水	c=1 d=1 t=1490
huo4 	或	c=2 d=1.9802 t=1285
huo4 jin1 	霍金	c=1 d=1 t=250
ji1 	機	c=0 d=0.1 t=1182
ji1 dong4 	激動	c=0 d=0.1 t=1076
ji1 ge4 ren2 	幾個人	c=1 d=1 t=1696
ji1 gou4 	機構	c=2 d=1.80654 t=125
ji1 huo4 ke3 ju1 	奇貨可居	c=0 d=0.1 t=1652
ji1 pian1 	幾篇	c=1 d=1 t=53
ji1 tiao2 	幾條	c=1 d=1 t=1185
ji1 yin1 	基因	c=1 d=1 t=103
ji1 zhi4 guo4 ren2 	機智過人	c=1 d=1 t=1183
ji2 tuan2 	集團	c=1 d=1 t=1535
ji3 ge5 	幾個	c=1 d=1 t=1686
ji4 	記	c=0 d=0.1 t=479
ji4 cuo4 	記錯	c=1 d=1 t=1624
ji4 hua4 	計劃	c=1 d=0.890571 t=1204
ji4 lu4 	記錄	c=1 d=1 t=171
ji4 lu4 pian4 	紀錄片	c=1 d=1 t=104
ji4 zhe3 	記者	c=1 d=1 t=97
ji4 zhe5 	記着	c=1 d=1 t=600
jia1 ge4 	加個	c=1 d=1 t=1733
jia1 gong1 	加工	c=1 d=1 t=1728
jia1 mi4 	加密	c=2 d=1.5599 t=1705
jia3 de5 	假的	c=1 d=1 t=1431
jian1 	間	c=1 d=1 t=380
jian1 du1 	監督	c=1 d=1 t=1674
jian1 shi4 	監視	c=1 d=1 t=1413
jian3 cha2 	檢查	c=1 d=1 t=763
jian3 hua4 	簡化	c=0 d=0.1 t=570
jian3 hua4 ban3 	簡化版	c=1 d=1 t=571
jian3 ju3 	檢舉	c=1 d=1 t=1497
jian3 shi3 	簡史	c=1 d=1 t=251
jian3 yue4 	簡悅	c=1 d=1 t=759
jian4 fang2 	建房	c=0 d=0.1 t=352
jiang1 	將	c=2 d=1.22202 t=880
jiao1 tong1 	交通	c=1 d=1 t=1236
jiao3 ben3 	腳本	c=1 d=1 t=1081
jiao4 	叫	c=0 d=0.1 t=1277
jiao4 dui4 	校對	c=1 d=1 t=1730
jiao4 yu4 	教育	c=1 d=1.06637 t=909
jie1 	接	c=0 d=0.1 t=1377
jie1 fa1 	揭發	c=1 d=1 t=1496
jie1 kou3 	接口	c=1 d=1 t=550
jie2 guo3 	結果	c=1 d=1 t=981
